time_s,sig_2,sig_3,sig_4,sig_5,sig_6,sig_7,sig_11,sig_12,sig_13,sig_17,sig_19,sig_20,sig_21,sig_22,sig_23,sig_24,sig_25,sig_26,sig_27,sig_28,sig_51,sig_52,sig_53,sig_57,sig_58,sig_59,sig_60,sig_61,sig_62,sig_63,sig_64,sig_65,sig_66,sig_68,sig_70,sig_71,sig_72,sig_73,sig_74,sig_75,sig_76,sig_119,sig_120,sig_121,sig_125,sig_126,sig_127,sig_131,sig_134
0.633,-20.0,1056.0,-23.0,-253.0,951.0,199.0,66.0,1041.0,185.0,235,-288,308.0,913.0,141.0,-287.0,929.0,100.0,-420.0,1051.0,-20.0,-1013,-148,277,341,49,-718,-12,-625,-31,780,-969,243,369,-470,431,311,-519,474,555,117,-673,87,-22,17,-290,363,-831,-49,168
0.667,-58.0,1029.0,23.0,-265.0,935.0,193.0,114.0,1037.0,200.0,232,-269,297.0,944.0,142.0,-297.0,912.0,127.0,-346.0,1048.0,-12.0,-980,-86,205,338,21,-719,6,-624,-15,781,-885,277,349,-492,417,305,-539,461,557,106,-683,87,-22,17,-258,342,-801,-87,168
0.7,-44.0,1055.0,13.0,-275.0,1013.0,164.0,143.0,992.0,243.0,196,-284,337.0,858.0,114.0,-338.0,987.0,80.0,-373.0,1041.0,24.0,-984,-84,124,336,-9,-720,24,-623,5,782,-858,326,339,-587,410,292,-558,446,558,93,-694,87,-22,17,-258,358,-777,-24,168
0.733,-33.0,1030.0,-21.0,-305.0,983.0,169.0,182.0,986.0,266.0,197,-272,317.0,921.0,103.0,-370.0,984.0,68.0,-391.0,1078.0,13.0,-955,-18,103,333,-42,-723,42,-623,27,781,-837,362,308,-673,392,281,-584,428,558,81,-707,87,-22,17,-282,366,-816,-32,168
0.767,-54.0,1038.0,5.0,-296.0,953.0,193.0,133.0,1005.0,236.0,213,-279,279.0,946.0,152.0,-370.0,1021.0,53.0,-384.0,1046.0,-4.0,-920,-36,149,330,-77,-720,60,-621,48,780,-831,412,288,-730,371,270,-611,410,557,68,-719,87,-22,17,-280,363,-828,-21,168
0.8,-46.0,1040.0,72.0,-301.0,992.0,181.0,107.0,987.0,259.0,218,-302,312.0,947.0,144.0,-333.0,1051.0,15.0,-405.0,1038.0,11.0,-923,-22,197,326,-116,-714,80,-618,70,779,-837,448,281,-782,345,257,-640,394,556,53,-730,87,-22,17,-283,364,-824,-22,168
0.833,-43.0,1057.0,8.0,-286.0,1040.0,194.0,91.0,1000.0,303.0,146,-297,291.0,919.0,116.0,-388.0,985.0,89.0,-415.0,1070.0,0.0,-880,29,230,324,-154,-708,99,-614,92,778,-791,462,298,-795,325,242,-666,380,554,36,-740,87,-22,17,-282,351,-798,-72,168
0.867,-68.0,1035.0,-11.0,-219.0,967.0,161.0,109.0,1002.0,319.0,154,-289,376.0,942.0,162.0,-345.0,962.0,13.0,-444.0,1083.0,-10.0,-820,153,268,321,-185,-702,114,-608,110,778,-658,478,303,-631,313,227,-685,372,554,17,-745,87,-22,17,-275,359,-836,15,168
0.9,14.0,1097.0,36.0,-271.0,974.0,173.0,112.0,1079.0,347.0,183,-273,270.0,922.0,180.0,-324.0,1011.0,-53.0,-465.0,1089.0,-10.0,-799,266,224,315,-214,-696,123,-603,126,778,-590,477,443,-440,302,211,-701,371,551,3,-748,87,-22,18,-264,410,-834,-239,168
0.933,-90.0,1037.0,66.0,-226.0,1027.0,162.0,58.0,1039.0,360.0,165,-269,250.0,908.0,219.0,-292.0,1062.0,-142.0,-476.0,1022.0,9.0,-895,292,187,309,-233,-693,128,-599,137,779,-646,515,484,-369,296,206,-708,374,546,-4,-750,85,-22,19,-198,444,-920,-535,168
0.967,-38.0,1049.0,102.0,-230.0,1028.0,111.0,118.0,959.0,350.0,115,-290,305.0,922.0,206.0,-272.0,992.0,-36.0,-401.0,1060.0,52.0,-976,317,245,299,-244,-688,129,-594,144,781,-699,503,513,-238,294,212,-711,381,539,-3,-751,81,-21,21,-200,306,-915,-779,167
1.0,-77.0,1038.0,62.0,-294.0,948.0,161.0,192.0,904.0,350.0,93,-288,221.0,941.0,160.0,-242.0,969.0,-8.0,-305.0,1039.0,39.0,-1030,318,295,293,-252,-691,129,-590,148,783,-753,468,565,-93,294,229,-705,389,532,4,-752,80,-21,21,-233,199,-680,-1204,167
1.033,-83.0,1010.0,123.0,-338.0,965.0,130.0,266.0,903.0,350.0,27,-257,211.0,933.0,181.0,-216.0,944.0,-12.0,-258.0,1037.0,89.0,-1033,279,324,287,-257,-691,128,-588,149,785,-786,493,610,-17,295,248,-703,397,527,9,-752,81,-21,22,-90,447,-1247,106,167
1.067,-111.0,1011.0,208.0,-372.0,885.0,89.0,243.0,886.0,350.0,-54,-236,154.0,961.0,151.0,-167.0,915.0,6.0,-317.0,991.0,69.0,-999,230,309,283,-257,-692,125,-586,149,787,-756,519,643,-37,295,258,-698,406,521,13,-751,84,-21,20,30,521,-1053,1235,165
1.1,-129.0,1023.0,275.0,-256.0,811.0,115.0,236.0,910.0,350.0,-129,-237,126.0,954.0,151.0,-133.0,894.0,-7.0,-371.0,993.0,85.0,-978,204,306,274,-252,-694,121,-584,148,789,-744,559,637,-67,299,271,-691,419,514,18,-748,90,-21,16,-724,-97,-543,282,162
1.133,-172.0,1042.0,342.0,-205.0,874.0,236.0,242.0,869.0,371.0,-146,-284,-9.0,999.0,120.0,-110.0,929.0,24.0,-365.0,936.0,155.0,-1021,204,303,269,-247,-699,112,-581,147,793,-783,586,641,-147,304,291,-678,438,503,27,-745,88,-21,16,-520,7,-586,-3,158
1.167,-372.0,1111.0,492.0,-118.0,1013.0,217.0,242.0,748.0,428.0,-163,-309,105.0,1002.0,-3.0,-156.0,938.0,-9.0,-356.0,864.0,275.0,-1005,91,370,257,-238,-706,101,-575,142,799,-889,554,765,-366,304,314,-657,461,486,38,-742,83,-22,18,938,870,191,466,154
1.2,-307.0,1104.0,260.0,-89.0,1082.0,179.0,252.0,654.0,541.0,-175,-345,376.0,1013.0,-59.0,-166.0,935.0,89.0,-260.0,843.0,320.0,-997,57,429,240,-232,-713,91,-566,138,808,-918,592,792,-765,298,339,-639,491,461,47,-737,81,-22,18,51,474,-579,518,152
1.233,1.0,970.0,-239.0,-100.0,1117.0,225.0,320.0,716.0,564.0,-168,-339,562.0,857.0,-87.0,-172.0,945.0,38.0,-228.0,947.0,414.0,-1040,148,510,216,-224,-721,75,-552,135,819,-924,477,933,-1118,294,368,-612,528,426,59,-733,81,-22,18,-737,133,-1295,115,151
1.267,-125.0,1128.0,0.0,-153.0,1121.0,247.0,311.0,773.0,621.0,-111,-334,256.0,902.0,-319.0,-170.0,936.0,3.0,-271.0,1010.0,429.0,-1038,252,644,175,-214,-729,55,-530,135,835,-905,267,1083,-1488,289,403,-579,565,381,71,-728,81,-22,18,-103,466,-690,-154,151
1.3,-353.0,1033.0,-264.0,-110.0,1089.0,273.0,219.0,814.0,680.0,-6,-324,406.0,855.0,-449.0,-137.0,934.0,36.0,-355.0,1072.0,451.0,-914,411,817,119,-196,-741,27,-496,133,858,-856,176,1044,-1702,286,445,-533,605,327,90,-720,81,-22,18,-333,350,-842,-92,151
1.333,-35.0,1100.0,-255.0,-153.0,953.0,287.0,229.0,868.0,698.0,19,-265,794.0,780.0,-375.0,-148.0,965.0,-15.0,-406.0,1081.0,401.0,-1098,363,849,46,-172,-747,-2,-455,129,881,-974,71,1115,-1768,284,496,-472,644,262,121,-708,81,-22,18,-317,370,-819,-132,151
1.367,257.0,1099.0,-444.0,-268.0,1012.0,181.0,224.0,843.0,715.0,93,-294,705.0,622.0,-289.0,-123.0,975.0,-68.0,-387.0,1050.0,347.0,-1392,215,751,-37,-148,-745,-27,-410,129,902,-991,-20,1146,-1709,276,546,-407,672,194,156,-698,81,-22,18,-225,380,-797,-48,150
1.4,4.0,903.0,-283.0,-353.0,1095.0,161.0,260.0,830.0,684.0,167,-228,547.0,846.0,-87.0,-146.0,1004.0,-44.0,-375.0,1041.0,351.0,-1218,38,582,-121,-134,-728,-36,-365,141,920,-859,-91,1147,-1752,262,589,-337,683,132,182,-695,81,-22,19,-329,331,-859,-15,150
1.433,-417.0,1080.0,-284.0,-201.0,885.0,160.0,310.0,851.0,669.0,159,-221,232.0,1131.0,399.0,-170.0,1016.0,-68.0,-353.0,1060.0,382.0,-1041,65,491,-199,-152,-700,-30,-322,169,931,-772,-58,1217,-1995,229,623,-284,682,74,196,-701,81,-22,19,-273,371,-788,9,150
1.467,-15.0,1426.0,258.0,-187.0,919.0,128.0,236.0,977.0,699.0,107,-181,174.0,1058.0,-304.0,-164.0,1044.0,-25.0,-458.0,1046.0,265.0,-631,75,259,-282,-187,-653,-16,-283,211,935,-546,-104,1154,-2617,163,655,-235,670,14,193,-717,81,-22,19,-319,352,-828,64,150
1.5,22.0,891.0,203.0,-183.0,892.0,13.0,195.0,1009.0,711.0,105,-210,390.0,821.0,24.0,-187.0,1037.0,-49.0,-553.0,1044.0,280.0,-366,319,39,-340,-244,-603,-7,-253,273,928,-312,-145,1076,-3321,84,676,-205,649,-52,174,-739,81,-22,19,-322,364,-801,54,150
1.533,-79.0,956.0,206.0,-119.0,962.0,-51.0,154.0,997.0,816.0,124,-204,32.0,939.0,156.0,-97.0,1036.0,-30.0,-552.0,1099.0,315.0,-275,570,128,-383,-307,-547,-3,-223,345,912,-269,17,1071,-3976,7,686,-176,621,-121,144,-761,81,-22,18,-285,347,-807,108,150
1.567,-246.0,978.0,368.0,-107.0,1006.0,12.0,-102.0,976.0,959.0,187,-210,123.0,995.0,193.0,-89.0,989.0,10.0,-680.0,1066.0,466.0,-257,633,304,-426,-356,-480,-1,-193,413,890,-355,250,971,-4484,-88,687,-135,592,-187,104,-777,81,-22,18,-273,349,-806,77,151
1.6,-80.0,1041.0,337.0,-45.0,1093.0,83.0,-256.0,933.0,955.0,128,-201,135.0,915.0,131.0,-88.0,1025.0,-1.0,-761.0,890.0,580.0,-341,612,339,-459,-399,-409,1,-171,474,864,-450,300,940,-4845,-166,679,-83,566,-251,62,-783,81,-22,18,-272,344,-802,96,151
1.633,-168.0,970.0,338.0,-16.0,1165.0,135.0,-293.0,988.0,1025.0,60,-268,117.0,960.0,269.0,-70.0,1026.0,29.0,-785.0,1209.0,615.0,-313,533,347,-478,-437,-339,10,-159,527,835,-531,151,777,-5210,-241,665,-14,536,-317,21,-782,81,-22,18,-248,342,-823,78,151
1.667,-135.0,1028.0,336.0,23.0,1108.0,163.0,-278.0,1073.0,1106.0,-69,-162,278.0,965.0,175.0,-27.0,973.0,17.0,-886.0,1403.0,483.0,-388,460,514,-492,-470,-276,31,-147,572,806,-489,-139,529,-5303,-286,646,59,504,-381,-16,-775,81,-22,18,-248,356,-825,-6,152
1.7,-2.0,1049.0,166.0,-93.0,1111.0,-8.0,-271.0,927.0,1061.0,-8,-185,418.0,968.0,61.0,-59.0,935.0,16.0,-749.0,1273.0,369.0,-319,518,403,-492,-506,-205,64,-134,617,773,-350,-254,320,-4995,-305,626,131,465,-445,-42,-764,81,-22,18,-264,355,-822,21,151
1.733,45.0,1096.0,-59.0,-240.0,1315.0,8.0,-235.0,826.0,1008.0,68,-89,415.0,926.0,-22.0,-52.0,887.0,4.0,-599.0,1038.0,266.0,-397,603,237,-483,-544,-106,109,-118,663,731,-56,-366,-27,-4278,-330,587,217,410,-516,-51,-750,81,-22,18,-274,357,-820,20,152
1.767,-145.0,1042.0,-115.0,-127.0,1012.0,60.0,-249.0,592.0,872.0,131,-198,379.0,965.0,-64.0,-58.0,882.0,-20.0,-415.0,795.0,261.0,-437,732,15,-463,-575,7,163,-100,707,681,291,-447,-302,-3106,-359,532,301,342,-577,-72,-738,81,-22,18,-270,352,-808,21,152
1.8,-136.0,1072.0,-62.0,-253.0,858.0,114.0,-273.0,226.0,772.0,58,-63,329.0,934.0,-36.0,-99.0,911.0,20.0,-173.0,514.0,399.0,-555,976,-183,-433,-596,135,216,-82,745,626,546,-198,-492,-1779,-411,453,373,264,-617,-105,-734,81,-22,18,-257,354,-816,-6,152
1.833,-171.0,1023.0,-11.0,-216.0,1018.0,123.0,-336.0,123.0,821.0,-56,84,261.0,967.0,-40.0,-174.0,999.0,-50.0,-77.0,432.0,624.0,-342,1146,-297,-386,-600,243,260,-66,771,578,717,214,-544,-421,-464,365,412,192,-627,-145,-741,81,-22,18,-250,356,-827,-17,152
1.867,-258.0,1042.0,50.0,-129.0,894.0,47.0,-263.0,219.0,826.0,-47,199,200.0,949.0,-18.0,-186.0,1046.0,-35.0,-232.0,364.0,670.0,-266,1089,-399,-336,-605,311,288,-62,783,548,936,831,-391,478,-506,294,421,141,-616,-184,-753,81,-22,18,-249,357,-816,-9,152
1.9,-258.0,995.0,45.0,-137.0,897.0,90.0,-183.0,277.0,820.0,-32,151,254.0,911.0,8.0,-151.0,1059.0,-38.0,-228.0,456.0,682.0,-393,908,-476,-303,-607,345,304,-68,789,530,1026,1136,-130,777,-541,238,413,108,-598,-211,-765,81,-22,18,-264,368,-816,-76,152
1.933,-241.0,1002.0,61.0,-156.0,949.0,119.0,-161.0,331.0,653.0,11,108,227.0,949.0,54.0,-137.0,1068.0,-34.0,-240.0,374.0,579.0,-453,874,-571,-277,-616,358,309,-78,793,519,1077,1086,-12,751,-566,203,399,94,-583,-228,-774,81,-22,18,-287,363,-818,-63,152
1.967,-90.0,1037.0,11.0,-139.0,993.0,92.0,-334.0,238.0,532.0,55,171,380.0,894.0,20.0,-92.0,1010.0,-33.0,-361.0,261.0,507.0,-502,844,-673,-261,-619,349,302,-96,797,514,1109,891,1,477,-572,196,372,102,-574,-251,-773,81,-22,18,-275,362,-812,5,152
2.0,-34.0,1056.0,-73.0,-156.0,1028.0,86.0,-361.0,71.0,344.0,105,62,376.0,927.0,-12.0,-16.0,988.0,20.0,-280.0,269.0,600.0,-513,938,-639,-256,-632,336,287,-117,800,513,1199,755,-13,294,-575,212,357,122,-568,-276,-766,81,-22,18,-265,362,-813,-20,152
2.033,-150.0,1046.0,-79.0,-170.0,1000.0,52.0,-320.0,-179.0,201.0,97,-10,333.0,944.0,-25.0,-32.0,937.0,49.0,-216.0,341.0,657.0,-543,805,-677,-259,-647,326,265,-145,803,514,1067,612,87,81,-584,241,345,153,-563,-305,-753,81,-22,18,-270,358,-815,-66,152
2.067,-170.0,1031.0,-40.0,-139.0,995.0,52.0,-289.0,-548.0,-47.0,148,14,316.0,943.0,-40.0,-55.0,966.0,51.0,-56.0,481.0,823.0,-675,704,-650,-263,-659,296,238,-180,806,512,995,625,104,-195,-580,279,323,186,-558,-341,-733,81,-22,18,-268,359,-815,-43,152
2.1,-190.0,1012.0,-41.0,-79.0,966.0,41.0,-104.0,-827.0,-74.0,74,26,273.0,907.0,-22.0,-96.0,937.0,24.0,130.0,691.0,1001.0,-716,639,-560,-267,-675,264,209,-220,805,509,926,657,114,-310,-576,319,296,224,-551,-384,-706,81,-22,18,-272,360,-815,-34,151
2.133,-151.0,1042.0,10.0,-184.0,975.0,129.0,105.0,-863.0,-149.0,-69,-40,300.0,961.0,40.0,-88.0,951.0,-10.0,336.0,624.0,1038.0,-851,538,-533,-268,-690,216,179,-269,803,502,946,774,69,-447,-554,375,245,273,-536,-443,-665,81,-22,18,-271,365,-808,-53,151
2.167,-122.0,1075.0,-11.0,-223.0,970.0,28.0,458.0,-966.0,81.0,-31,-82,291.0,936.0,-15.0,-118.0,962.0,19.0,592.0,423.0,901.0,-897,677,-471,-260,-704,158,139,-320,790,504,1024,939,-62,-226,-542,426,176,332,-510,-505,-612,81,-22,18,-270,366,-807,-48,151
2.2,-158.0,996.0,-8.0,-221.0,1003.0,-15.0,812.0,-932.0,258.0,15,94,276.0,911.0,-23.0,-107.0,992.0,-57.0,604.0,581.0,706.0,-894,730,-360,-249,-723,97,92,-369,769,514,1064,1043,-136,405,-534,469,91,400,-474,-559,-550,81,-22,18,-271,366,-806,-65,151
2.233,-192.0,1006.0,2.0,-232.0,988.0,-36.0,791.0,-918.0,357.0,23,142,249.0,957.0,12.0,-124.0,996.0,-62.0,687.0,621.0,740.0,-886,723,-477,-235,-728,-1,31,-417,739,528,1021,1118,-170,1124,-505,504,-33,474,-428,-600,-482,81,-22,18,-271,363,-809,-29,151
2.267,-172.0,1040.0,24.0,-198.0,1017.0,26.0,755.0,-943.0,319.0,42,146,291.0,941.0,26.0,-174.0,1019.0,-39.0,730.0,713.0,733.0,-799,754,-638,-214,-720,-116,-43,-464,699,542,1002,1171,-155,1649,-462,516,-172,546,-378,-622,-415,81,-22,18,-274,361,-812,-21,151
2.3,-111.0,1056.0,-5.0,-213.0,1021.0,11.0,616.0,-1131.0,309.0,93,86,316.0,926.0,19.0,-166.0,1025.0,-33.0,724.0,692.0,866.0,-938,652,-755,-174,-691,-261,-128,-510,647,552,919,1336,-372,2147,-384,503,-332,617,-319,-634,-339,81,-22,18,-278,368,-810,-52,152
2.333,-140.0,1039.0,-34.0,-162.0,1038.0,56.0,577.0,-1001.0,323.0,69,-72,292.0,944.0,-14.0,-136.0,1005.0,11.0,693.0,711.0,782.0,-811,765,-377,-118,-631,-404,-230,-543,577,565,659,1378,-417,3168,-294,441,-486,695,-241,-631,-247,81,-22,18,-278,369,-808,3,152
2.367,-172.0,1032.0,-50.0,-127.0,1001.0,29.0,590.0,-922.0,369.0,97,-103,321.0,922.0,10.0,-130.0,1002.0,-59.0,622.0,834.0,689.0,-614,985,462,-66,-543,-519,-332,-547,504,580,27,1031,-37,5227,-183,328,-616,780,-153,-585,-160,81,-22,18,-272,370,-802,-30,152
2.4,-136.0,1023.0,-52.0,-136.0,1040.0,-2.0,590.0,-922.0,369.0,207,-67,315.0,939.0,2.0,-142.0,960.0,38.0,581.0,817.0,588.0,-789,1559,708,-5,-430,-611,-415,-535,438,591,96,-223,98,7389,3,202,-694,865,-105,-483,-83,81,-22,18,-283,366,-822,-44,152
2.433,-155.0,1027.0,-32.0,-130.0,1057.0,-9.0,590.0,-922.0,369.0,222,-45,286.0,948.0,6.0,-139.0,982.0,9.0,581.0,817.0,588.0,-1572,-1122,1344,72,-294,-680,-423,-547,397,604,664,-1406,-52,-1083,15,254,-676,840,-146,-500,-153,81,-22,18,-283,364,-824,14,152
2.467,-129.0,1014.0,-25.0,-136.0,1056.0,-3.0,590.0,-922.0,369.0,111,23,284.0,935.0,15.0,-98.0,987.0,-22.0,581.0,817.0,588.0,370,1813,-110,20,-384,-639,-392,-524,436,618,1867,-1128,1283,2536,81,279,-660,861,-145,-462,-158,81,-22,18,-277,365,-803,-7,152
2.5,-181.0,1005.0,-8.0,-133.0,1038.0,-31.0,590.0,-922.0,369.0,99,-181,250.0,924.0,30.0,-102.0,964.0,-17.0,581.0,817.0,588.0,-448,317,-702,-9,-362,-651,-386,-511,445,627,547,868,749,1270,117,237,-674,873,-108,-446,-163,81,-22,18,-280,368,-801,8,152
2.533,-172.0,1036.0,13.0,-185.0,1193.0,96.0,590.0,-922.0,369.0,115,360,261.0,936.0,22.0,-156.0,943.0,40.0,581.0,817.0,588.0,-183,598,-425,-39,-383,-639,-379,-516,457,617,869,141,376,114,115,271,-658,869,-114,-447,-180,81,-22,18,-275,377,-792,18,152
2.567,-149.0,1025.0,-30.0,-166.0,1183.0,87.0,590.0,-922.0,369.0,19,109,286.0,943.0,14.0,-148.0,955.0,24.0,581.0,817.0,588.0,-207,803,85,-38,-383,-641,-383,-516,452,619,683,-62,558,-289,107,289,-649,865,-120,-449,-187,81,-22,18,-293,373,-801,-36,152
2.6,-145.0,1037.0,-58.0,-240.0,1035.0,37.0,590.0,-922.0,369.0,81,130,322.0,933.0,-18.0,-191.0,1001.0,27.0,581.0,817.0,588.0,-311,934,334,-32,-383,-639,-382,-515,451,621,643,2,732,-230,99,293,-651,865,-121,-449,-190,81,-22,18,-291,368,-814,-32,152
2.633,-110.0,1042.0,-68.0,-90.0,804.0,181.0,590.0,-922.0,369.0,-2,404,354.0,933.0,-20.0,-180.0,1022.0,21.0,581.0,817.0,588.0,-347,999,211,-18,-354,-652,-379,-512,454,623,784,-98,551,51,94,275,-660,865,-125,-447,-188,81,-22,18,-276,371,-808,-46,152
2.667,-151.0,1050.0,-79.0,-66.0,780.0,281.0,590.0,-922.0,369.0,-320,1851,282.0,933.0,-29.0,-171.0,1010.0,-42.0,581.0,817.0,588.0,-313,950,39,-24,-355,-651,-378,-510,455,625,818,-224,559,138,99,278,-658,867,-128,-445,-185,81,-22,18,-286,380,-799,-44,152
2.7,-172.0,994.0,-56.0,-292.0,936.0,131.0,590.0,-922.0,369.0,144,21,300.0,914.0,0.0,-171.0,955.0,-12.0,581.0,817.0,588.0,-300,942,27,-36,-379,-641,-377,-510,455,625,807,-164,635,52,101,296,-649,868,-129,-443,-186,81,-22,18,-279,388,-795,17,152
2.733,-179.0,1010.0,-33.0,-22.0,1142.0,106.0,590.0,-922.0,369.0,-170,331,232.0,926.0,-7.0,-157.0,904.0,15.0,581.0,817.0,588.0,-290,941,118,-37,-379,-641,-377,-509,454,626,764,-138,643,-84,98,297,-649,867,-128,-443,-187,81,-22,18,-273,375,-804,23,152
