time_s,eID
189.898,eID_1
189.931,eID_1
189.965,eID_1
189.998,eID_1
190.031,eID_1
190.065,eID_1
190.098,eID_1
190.131,eID_1
190.165,eID_1
190.198,eID_1
190.231,eID_1
190.265,eID_1
190.298,eID_1
190.331,eID_1
392.463,eID_1
392.496,eID_1
392.529,eID_1
392.563,eID_1
392.596,eID_1
392.629,eID_1
392.663,eID_1
392.696,eID_1
392.729,eID_1
392.763,eID_1
392.796,eID_1
392.829,eID_1
392.863,eID_1
392.896,eID_1
392.929,eID_1
392.963,eID_1
392.996,eID_1
393.029,eID_1
393.063,eID_1
393.096,eID_1
393.129,eID_1
393.163,eID_1
393.196,eID_1
393.229,eID_1
393.263,eID_1
393.296,eID_1
393.329,eID_1
393.363,eID_1
393.396,eID_1
393.429,eID_1
393.463,eID_1
393.496,eID_1
393.529,eID_1
393.563,eID_1
393.596,eID_1
393.629,eID_1
393.663,eID_1
393.696,eID_1
393.729,eID_1
393.763,eID_1
393.796,eID_1
393.829,eID_1
393.863,eID_1
393.896,eID_1
393.929,eID_1
393.963,eID_1
393.996,eID_1
394.029,eID_1
394.063,eID_1
394.096,eID_1
394.129,eID_1
394.163,eID_1
394.196,eID_1
394.229,eID_1
394.263,eID_1
394.296,eID_1
394.329,eID_1
394.363,eID_1
394.396,eID_1
394.429,eID_1
394.463,eID_1
394.496,eID_1
394.529,eID_1
394.563,eID_1
394.596,eID_1
394.629,eID_1
394.663,eID_1
394.696,eID_1
394.729,eID_1
394.763,eID_1
394.796,eID_1
394.829,eID_1
394.863,eID_1
394.896,eID_1
394.929,eID_1
394.963,eID_1
394.996,eID_1
395.029,eID_1
395.063,eID_1
395.096,eID_1
395.129,eID_1
395.163,eID_1
395.196,eID_1
395.229,eID_1
395.263,eID_1
395.296,eID_1
395.329,eID_1
395.363,eID_1
395.396,eID_1
395.429,eID_1
395.463,eID_1
395.496,eID_1
395.529,eID_1
395.563,eID_1
395.596,eID_1
395.629,eID_1
395.663,eID_1
395.696,eID_1
395.729,eID_1
395.763,eID_1
395.796,eID_1
395.829,eID_1
395.863,eID_1
395.896,eID_1
395.929,eID_1
395.963,eID_1
395.996,eID_1
396.029,eID_1
396.063,eID_1
396.096,eID_1
396.129,eID_1
396.163,eID_1
396.196,eID_1
396.229,eID_1
396.263,eID_1
396.296,eID_1
396.329,eID_1
396.363,eID_1
396.396,eID_1
396.429,eID_1
396.463,eID_1
396.496,eID_1
396.529,eID_1
396.563,eID_1
396.596,eID_1
396.629,eID_1
396.663,eID_1
396.696,eID_1
396.729,eID_1
396.763,eID_1
396.796,eID_1
396.829,eID_1
396.863,eID_1
396.896,eID_1
396.929,eID_1
396.963,eID_1
396.996,eID_1
397.029,eID_1
397.063,eID_1
397.096,eID_1
397.129,eID_1
397.163,eID_1
397.196,eID_1
397.229,eID_1
397.263,eID_1
397.296,eID_1
397.329,eID_1
397.363,eID_1
397.396,eID_1
397.429,eID_1
397.463,eID_1
397.496,eID_1
397.529,eID_1
397.563,eID_1
397.596,eID_1
397.629,eID_1
397.663,eID_1
397.696,eID_1
397.729,eID_1
397.763,eID_1
397.796,eID_1
397.829,eID_1
397.863,eID_1
397.896,eID_1
397.929,eID_1
397.963,eID_1
397.996,eID_1
398.029,eID_1
398.063,eID_1
398.096,eID_1
398.129,eID_1
398.163,eID_1
398.196,eID_1
398.229,eID_1
398.263,eID_1
398.296,eID_1
398.329,eID_1
398.363,eID_1
398.396,eID_1
398.429,eID_1
398.463,eID_1
398.496,eID_1
398.529,eID_1
398.563,eID_1
398.596,eID_1
398.629,eID_1
398.663,eID_1
398.696,eID_1
398.729,eID_1
398.763,eID_1
398.796,eID_1
398.829,eID_1
398.863,eID_1
398.896,eID_1
398.929,eID_1
398.963,eID_1
398.996,eID_1
399.029,eID_1
399.063,eID_1
429.862,eID_1
429.896,eID_1
429.929,eID_1
429.962,eID_1
429.996,eID_1
430.029,eID_1
430.062,eID_1
430.096,eID_1
430.129,eID_1
430.162,eID_1
430.196,eID_1
430.229,eID_1
430.262,eID_1
430.296,eID_1
430.329,eID_1
430.362,eID_1
430.396,eID_1
430.429,eID_1
430.462,eID_1
430.496,eID_1
430.529,eID_1
430.562,eID_1
430.596,eID_1
430.629,eID_1
430.662,eID_1
430.696,eID_1
430.729,eID_1
430.762,eID_1
430.796,eID_1
430.829,eID_1
430.862,eID_1
430.896,eID_1
430.929,eID_1
430.962,eID_1
430.996,eID_1
431.029,eID_1
431.062,eID_1
431.096,eID_1
431.129,eID_1
431.162,eID_1
431.196,eID_1
431.229,eID_1
431.262,eID_1
431.296,eID_1
431.329,eID_1
431.362,eID_1
431.396,eID_1
431.429,eID_1
431.462,eID_1
431.496,eID_1
431.529,eID_1
431.562,eID_1
431.596,eID_1
431.629,eID_1
431.662,eID_1
431.696,eID_1
431.729,eID_1
431.762,eID_1
431.796,eID_1
431.829,eID_1
431.862,eID_1
431.896,eID_1
431.929,eID_1
431.962,eID_1
431.996,eID_1
432.029,eID_1
432.062,eID_1
432.096,eID_1
432.129,eID_1
432.162,eID_1
432.196,eID_1
432.229,eID_1
432.262,eID_1
432.296,eID_1
432.329,eID_1
432.362,eID_1
432.396,eID_1
432.429,eID_1
432.462,eID_1
432.496,eID_1
432.529,eID_1
432.562,eID_1
432.596,eID_1
432.629,eID_1
432.662,eID_1
432.696,eID_1
432.729,eID_1
432.762,eID_1
432.796,eID_1
432.829,eID_1
432.862,eID_1
432.896,eID_1
432.929,eID_1
432.962,eID_1
432.996,eID_1
433.029,eID_1
433.062,eID_1
433.096,eID_1
433.129,eID_1
433.162,eID_1
433.196,eID_1
433.229,eID_1
433.262,eID_1
433.296,eID_1
433.329,eID_1
433.362,eID_1
433.396,eID_1
433.429,eID_1
433.462,eID_1
433.496,eID_1
433.529,eID_1
433.562,eID_1
433.596,eID_1
433.629,eID_1
433.662,eID_1
433.696,eID_1
433.729,eID_1
433.762,eID_1
433.796,eID_1
433.829,eID_1
433.862,eID_1
433.896,eID_1
433.929,eID_1
433.962,eID_1
433.996,eID_1
434.029,eID_1
434.062,eID_1
434.096,eID_1
434.129,eID_1
434.162,eID_1
434.196,eID_1
434.229,eID_1
434.262,eID_1
434.296,eID_1
434.329,eID_1
434.362,eID_1
434.396,eID_1
434.429,eID_1
434.462,eID_1
434.496,eID_1
434.529,eID_1
434.562,eID_1
434.596,eID_1
434.629,eID_1
434.662,eID_1
434.696,eID_1
434.729,eID_1
434.762,eID_1
434.796,eID_1
434.829,eID_1
434.862,eID_1
434.896,eID_1
434.929,eID_1
434.962,eID_1
434.996,eID_1
435.029,eID_1
435.062,eID_1
435.096,eID_1
435.129,eID_1
435.162,eID_1
435.196,eID_1
435.229,eID_1
435.262,eID_1
435.296,eID_1
435.329,eID_1
435.362,eID_1
435.396,eID_1
435.429,eID_1
435.462,eID_1
435.496,eID_1
435.529,eID_1
435.562,eID_1
435.596,eID_1
435.629,eID_1
435.662,eID_1
435.696,eID_1
435.729,eID_1
435.762,eID_1
435.796,eID_1
435.829,eID_1
435.862,eID_1
435.896,eID_1
435.929,eID_1
435.962,eID_1
435.996,eID_1
436.029,eID_1
436.062,eID_1
436.096,eID_1
436.129,eID_1
436.162,eID_1
436.196,eID_1
436.229,eID_1
436.262,eID_1
436.296,eID_1
436.329,eID_1
436.362,eID_1
436.396,eID_1
436.429,eID_1
436.462,eID_1
436.496,eID_1
436.529,eID_1
436.562,eID_1
436.596,eID_1
436.629,eID_1
436.662,eID_1
436.696,eID_1
436.729,eID_1
436.762,eID_1
436.796,eID_1
446.862,eID_1
446.896,eID_1
446.929,eID_1
446.962,eID_1
446.996,eID_1
447.029,eID_1
447.062,eID_1
447.096,eID_1
447.129,eID_1
447.162,eID_1
447.196,eID_1
567.161,eID_1
567.261,eID_1
567.294,eID_1
567.328,eID_1
567.361,eID_1
567.394,eID_1
594.194,eID_1
594.227,eID_1
594.261,eID_1
594.294,eID_1
594.327,eID_1
594.361,eID_1
594.394,eID_1
594.427,eID_1
594.461,eID_1
594.494,eID_1
594.527,eID_1
594.561,eID_1
594.594,eID_1
594.627,eID_1
594.661,eID_1
594.694,eID_1
594.727,eID_1
594.761,eID_1
594.794,eID_1
594.827,eID_1
594.861,eID_1
594.894,eID_1
594.927,eID_1
594.961,eID_1
594.994,eID_1
595.027,eID_1
595.061,eID_1
595.094,eID_1
595.127,eID_1
595.161,eID_1
595.194,eID_1
595.227,eID_1
595.261,eID_1
595.294,eID_1
595.327,eID_1
595.361,eID_1
595.394,eID_1
595.427,eID_1
595.461,eID_1
595.494,eID_1
595.527,eID_1
595.561,eID_1
595.594,eID_1
595.627,eID_1
595.661,eID_1
595.694,eID_1
595.727,eID_1
595.761,eID_1
595.794,eID_1
595.827,eID_1
595.861,eID_1
595.894,eID_1
595.927,eID_1
595.961,eID_1
595.994,eID_1
596.027,eID_1
596.061,eID_1
596.094,eID_1
596.127,eID_1
596.161,eID_1
596.194,eID_1
596.227,eID_1
596.261,eID_1
596.294,eID_1
596.327,eID_1
596.361,eID_1
596.394,eID_1
596.427,eID_1
596.461,eID_1
596.494,eID_1
596.527,eID_1
596.561,eID_1
596.594,eID_1
596.627,eID_1
596.661,eID_1
596.694,eID_1
596.727,eID_1
596.761,eID_1
596.794,eID_1
596.827,eID_1
596.861,eID_1
596.894,eID_1
596.927,eID_1
596.961,eID_1
596.994,eID_1
597.027,eID_1
597.061,eID_1
597.094,eID_1
597.127,eID_1
597.161,eID_1
597.194,eID_1
597.227,eID_1
597.261,eID_1
597.294,eID_1
597.327,eID_1
597.361,eID_1
597.394,eID_1
597.427,eID_1
597.461,eID_1
597.494,eID_1
597.527,eID_1
597.561,eID_1
597.594,eID_1
597.627,eID_1
597.661,eID_1
597.694,eID_1
597.727,eID_1
597.761,eID_1
597.794,eID_1
597.827,eID_1
597.861,eID_1
597.894,eID_1
597.927,eID_1
597.961,eID_1
597.994,eID_1
598.027,eID_1
598.061,eID_1
598.094,eID_1
598.127,eID_1
598.161,eID_1
598.194,eID_1
598.227,eID_1
598.261,eID_1
598.294,eID_1
598.327,eID_1
598.361,eID_1
598.394,eID_1
598.427,eID_1
598.461,eID_1
598.494,eID_1
598.527,eID_1
598.561,eID_1
598.594,eID_1
598.627,eID_1
598.661,eID_1
598.694,eID_1
598.727,eID_1
598.761,eID_1
598.794,eID_1
598.827,eID_1
598.861,eID_1
598.894,eID_1
598.927,eID_1
598.961,eID_1
598.994,eID_1
599.027,eID_1
599.061,eID_1
599.094,eID_1
599.127,eID_1
599.161,eID_1
599.194,eID_1
599.227,eID_1
599.261,eID_1
599.294,eID_1
599.327,eID_1
599.361,eID_1
599.394,eID_1
599.427,eID_1
599.461,eID_1
599.494,eID_1
599.527,eID_1
599.561,eID_1
599.594,eID_1
599.627,eID_1
599.661,eID_1
599.694,eID_1
599.727,eID_1
599.761,eID_1
599.794,eID_1
599.827,eID_1
599.861,eID_1
599.894,eID_1
599.927,eID_1
599.961,eID_1
599.994,eID_1
600.027,eID_1
600.061,eID_1
600.094,eID_1
600.127,eID_1
600.161,eID_1
600.194,eID_1
600.227,eID_1
600.261,eID_1
600.294,eID_1
600.327,eID_1
600.361,eID_1
600.394,eID_1
600.427,eID_1
600.461,eID_1
600.494,eID_1
600.527,eID_1
600.561,eID_1
600.594,eID_1
600.627,eID_1
600.661,eID_1
600.694,eID_1
600.727,eID_1
600.761,eID_1
600.794,eID_1
600.827,eID_1
600.861,eID_1
600.894,eID_1
600.927,eID_1
600.961,eID_1
600.994,eID_1
601.027,eID_1
601.061,eID_1
601.094,eID_1
601.127,eID_1
601.161,eID_1
601.194,eID_1
601.227,eID_1
601.261,eID_1
601.294,eID_1
601.327,eID_1
601.361,eID_1
601.394,eID_1
601.427,eID_1
601.461,eID_1
601.494,eID_1
601.527,eID_1
601.561,eID_1
601.594,eID_1
601.627,eID_1
601.661,eID_1
601.694,eID_1
601.727,eID_1
601.761,eID_1
601.794,eID_1
601.827,eID_1
601.861,eID_1
601.894,eID_1
601.927,eID_1
601.961,eID_1
601.994,eID_1
602.027,eID_1
602.061,eID_1
602.094,eID_1
602.127,eID_1
602.161,eID_1
602.194,eID_1
602.227,eID_1
602.261,eID_1
602.294,eID_1
602.327,eID_1
602.361,eID_1
602.394,eID_1
602.427,eID_1
602.461,eID_1
602.494,eID_1
602.527,eID_1
602.561,eID_1
602.594,eID_1
602.627,eID_1
602.661,eID_1
602.694,eID_1
602.727,eID_1
602.761,eID_1
602.794,eID_1
602.827,eID_1
602.861,eID_1
602.894,eID_1
602.927,eID_1
602.961,eID_1
602.994,eID_1
603.027,eID_1
603.061,eID_1
603.094,eID_1
603.127,eID_1
603.161,eID_1
603.194,eID_1
603.227,eID_1
603.261,eID_1
603.294,eID_1
603.327,eID_1
603.361,eID_1
603.394,eID_1
603.427,eID_1
603.461,eID_1
603.494,eID_1
603.527,eID_1
603.561,eID_1
603.594,eID_1
603.627,eID_1
603.661,eID_1
603.694,eID_1
603.727,eID_1
603.761,eID_1
603.794,eID_1
603.827,eID_1
603.861,eID_1
603.894,eID_1
603.927,eID_1
603.961,eID_1
603.994,eID_1
604.027,eID_1
604.061,eID_1
604.094,eID_1
604.127,eID_1
604.161,eID_1
604.194,eID_1
604.227,eID_1
604.261,eID_1
604.294,eID_1
604.327,eID_1
604.361,eID_1
604.394,eID_1
604.427,eID_1
604.461,eID_1
604.494,eID_1
604.527,eID_1
604.561,eID_1
604.594,eID_1
604.627,eID_1
604.661,eID_1
604.694,eID_1
604.727,eID_1
604.761,eID_1
604.794,eID_1
604.827,eID_1
604.861,eID_1
604.894,eID_1
604.927,eID_1
604.961,eID_1
604.994,eID_1
605.027,eID_1
845.392,eID_1
845.425,eID_1
845.458,eID_1
845.492,eID_1
845.525,eID_1
845.558,eID_1
845.592,eID_1
845.625,eID_1
845.658,eID_1
845.692,eID_1
845.725,eID_1
845.758,eID_1
845.792,eID_1
845.825,eID_1
845.858,eID_1
845.892,eID_1
845.925,eID_1
845.958,eID_1
845.992,eID_1
846.025,eID_1
846.058,eID_1
846.092,eID_1
846.125,eID_1
846.158,eID_1
846.192,eID_1
846.225,eID_1
846.258,eID_1
846.292,eID_1
846.325,eID_1
846.358,eID_1
846.392,eID_1
846.425,eID_1
846.458,eID_1
846.492,eID_1
846.525,eID_1
846.558,eID_1
846.592,eID_1
846.625,eID_1
846.658,eID_1
846.692,eID_1
846.725,eID_1
846.758,eID_1
846.792,eID_1
846.825,eID_1
846.858,eID_1
846.892,eID_1
846.925,eID_1
846.958,eID_1
846.992,eID_1
847.025,eID_1
847.058,eID_1
847.092,eID_1
847.125,eID_1
847.158,eID_1
847.192,eID_1
847.225,eID_1
847.258,eID_1
847.292,eID_1
847.325,eID_1
847.358,eID_1
847.392,eID_1
847.425,eID_1
847.458,eID_1
847.492,eID_1
847.525,eID_1
847.558,eID_1
847.592,eID_1
847.625,eID_1
847.658,eID_1
847.692,eID_1
847.725,eID_1
847.758,eID_1
847.792,eID_1
847.825,eID_1
847.858,eID_1
847.892,eID_1
847.925,eID_1
847.958,eID_1
847.992,eID_1
848.025,eID_1
848.058,eID_1
848.092,eID_1
848.125,eID_1
848.158,eID_1
848.192,eID_1
848.225,eID_1
848.258,eID_1
848.292,eID_1
848.325,eID_1
848.358,eID_1
848.392,eID_1
848.425,eID_1
848.458,eID_1
848.492,eID_1
848.525,eID_1
848.558,eID_1
848.592,eID_1
848.625,eID_1
848.658,eID_1
848.692,eID_1
848.725,eID_1
848.758,eID_1
848.792,eID_1
848.825,eID_1
848.858,eID_1
848.892,eID_1
848.925,eID_1
848.958,eID_1
848.992,eID_1
849.025,eID_1
849.058,eID_1
849.092,eID_1
849.125,eID_1
849.158,eID_1
849.192,eID_1
849.225,eID_1
849.258,eID_1
849.292,eID_1
849.325,eID_1
849.358,eID_1
849.392,eID_1
849.425,eID_1
849.458,eID_1
849.492,eID_1
849.525,eID_1
849.558,eID_1
849.592,eID_1
849.625,eID_1
849.658,eID_1
849.692,eID_1
849.725,eID_1
849.758,eID_1
849.792,eID_1
849.825,eID_1
849.858,eID_1
849.892,eID_1
849.925,eID_1
849.958,eID_1
849.992,eID_1
850.025,eID_1
850.058,eID_1
850.091,eID_1
850.125,eID_1
850.158,eID_1
850.191,eID_1
850.225,eID_1
850.258,eID_1
850.291,eID_1
850.325,eID_1
850.358,eID_1
850.391,eID_1
850.425,eID_1
850.458,eID_1
850.491,eID_1
850.525,eID_1
850.558,eID_1
850.591,eID_1
850.625,eID_1
850.658,eID_1
850.691,eID_1
850.725,eID_1
850.758,eID_1
850.791,eID_1
850.825,eID_1
850.858,eID_1
850.891,eID_1
850.925,eID_1
850.958,eID_1
850.991,eID_1
908.691,eID_1
908.724,eID_1
908.758,eID_1
908.791,eID_1
908.824,eID_1
908.858,eID_1
908.891,eID_1
908.924,eID_1
908.958,eID_1
908.991,eID_1
909.024,eID_1
909.058,eID_1
909.091,eID_1
909.124,eID_1
909.158,eID_1
909.191,eID_1
909.224,eID_1
909.258,eID_1
909.291,eID_1
909.324,eID_1
909.358,eID_1
909.391,eID_1
909.424,eID_1
909.458,eID_1
909.491,eID_1
909.524,eID_1
909.558,eID_1
909.591,eID_1
909.624,eID_1
909.658,eID_1
909.691,eID_1
909.724,eID_1
909.758,eID_1
909.791,eID_1
909.824,eID_1
909.858,eID_1
909.891,eID_1
909.924,eID_1
909.958,eID_1
909.991,eID_1
910.024,eID_1
910.058,eID_1
910.091,eID_1
910.124,eID_1
910.158,eID_1
910.191,eID_1
910.224,eID_1
910.258,eID_1
910.291,eID_1
910.324,eID_1
910.358,eID_1
910.391,eID_1
910.424,eID_1
910.458,eID_1
910.491,eID_1
910.524,eID_1
910.558,eID_1
910.591,eID_1
910.624,eID_1
910.658,eID_1
910.691,eID_1
910.724,eID_1
910.758,eID_1
910.791,eID_1
910.824,eID_1
910.858,eID_1
910.891,eID_1
910.924,eID_1
910.958,eID_1
910.991,eID_1
911.024,eID_1
911.058,eID_1
911.091,eID_1
911.124,eID_1
911.158,eID_1
911.191,eID_1
911.224,eID_1
911.258,eID_1
911.291,eID_1
911.324,eID_1
911.358,eID_1
911.391,eID_1
911.424,eID_1
911.458,eID_1
911.491,eID_1
911.524,eID_1
911.558,eID_1
911.591,eID_1
911.624,eID_1
911.658,eID_1
911.691,eID_1
911.724,eID_1
911.758,eID_1
911.791,eID_1
911.824,eID_1
911.858,eID_1
911.891,eID_1
911.924,eID_1
911.958,eID_1
911.991,eID_1
1010.423,eID_1
1010.457,eID_1
1010.49,eID_1
1010.523,eID_1
1010.557,eID_1
1010.59,eID_1
1010.623,eID_1
1010.657,eID_1
1010.69,eID_1
1010.723,eID_1
1010.757,eID_1
1010.79,eID_1
1010.823,eID_1
1010.857,eID_1
1010.89,eID_1
1010.923,eID_1
1010.957,eID_1
1010.99,eID_1
1011.023,eID_1
1011.057,eID_1
1011.09,eID_1
1011.123,eID_1
1011.157,eID_1
1011.19,eID_1
1011.223,eID_1
1011.257,eID_1
1011.29,eID_1
1393.886,eID_1
1393.919,eID_1
1393.953,eID_1
1393.986,eID_1
1394.019,eID_1
1394.053,eID_1
1394.086,eID_1
1394.119,eID_1
1394.153,eID_1
1394.186,eID_1
1394.219,eID_1
1394.253,eID_1
1394.286,eID_1
1394.319,eID_1
1394.353,eID_1
1394.386,eID_1
1394.419,eID_1
1394.453,eID_1
1394.486,eID_1
1394.519,eID_1
1394.553,eID_1
1394.586,eID_1
1394.619,eID_1
1394.653,eID_1
1394.686,eID_1
1394.719,eID_1
1394.753,eID_1
1394.786,eID_1
1394.819,eID_1
1394.853,eID_1
1394.886,eID_1
1394.919,eID_1
1394.953,eID_1
1394.986,eID_1
1395.019,eID_1
1395.053,eID_1
1395.086,eID_1
1395.119,eID_1
1395.153,eID_1
1395.186,eID_1
1395.219,eID_1
1395.253,eID_1
1395.286,eID_1
1395.319,eID_1
1395.353,eID_1
1395.386,eID_1
1395.419,eID_1
1395.453,eID_1
1395.486,eID_1
1395.519,eID_1
1395.553,eID_1
1395.586,eID_1
1395.619,eID_1
1395.653,eID_1
1395.686,eID_1
1395.719,eID_1
1395.753,eID_1
1395.786,eID_1
1395.819,eID_1
1395.853,eID_1
1395.886,eID_1
1395.919,eID_1
1395.953,eID_1
1395.986,eID_1
1396.019,eID_1
1396.053,eID_1
1396.086,eID_1
1396.119,eID_1
1396.153,eID_1
1396.186,eID_1
1396.219,eID_1
1396.253,eID_1
1396.286,eID_1
1396.319,eID_1
1396.353,eID_1
1396.386,eID_1
1396.419,eID_1
1396.453,eID_1
1396.486,eID_1
1396.519,eID_1
1396.553,eID_1
1396.586,eID_1
1396.619,eID_1
1396.653,eID_1
1396.686,eID_1
1396.719,eID_1
1396.753,eID_1
1396.786,eID_1
1396.819,eID_1
1396.853,eID_1
1396.886,eID_1
1396.919,eID_1
1396.953,eID_1
1396.986,eID_1
1397.019,eID_1
1397.053,eID_1
1397.086,eID_1
1397.119,eID_1
1397.153,eID_1
1397.186,eID_1
1397.219,eID_1
1397.253,eID_1
